9786270541001@@@Gilead|9786270541001@@@Gilead@@@2004@@@http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|247@@@Marilynne Robinson@@@160,063|0000160063
9788681968609@@@Spider's Web|9788681968609@@@Spider's Web@@@2000@@@http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|241@@@Charles Osborne;Agatha Christie@@@799,602|0000799602
9786179030675@@@The One Tree|9786179030675@@@The One Tree@@@1982@@@http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|479@@@Stephen R. Donaldson@@@760,476|0000760476
9789055012285@@@Rage of angels|9789055012285@@@Rage of angels@@@1993@@@http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api|512@@@Sidney Sheldon@@@1,280,265|0001280265
9788440912299@@@The Four Loves|9788440912299@@@The Four Loves@@@2002@@@http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api|170@@@Clive Staples Lewis@@@580,731|0000580731
9789648965287@@@The Problem of Pain|9789648965287@@@The Problem of Pain@@@2002@@@http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api|176@@@Clive Staples Lewis@@@1,128,976|0001128976
9789645402556@@@An Autobiography|9789645402556@@@An Autobiography@@@1977@@@http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|560@@@Agatha Christie@@@960,139|0000960139
9781783282374@@@Empires of the Monsoon|9781783282374@@@Empires of the Monsoon@@@1998@@@http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|608@@@Richard Hall@@@2,134,170|0002134170
9787651261256@@@The Gap Into Madness|9787651261256@@@The Gap Into Madness@@@1994@@@http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api|743@@@Stephen R. Donaldson@@@1,285,007|0001285007
9788368625353@@@Master of the Game|9788368625353@@@Master of the Game@@@1982@@@http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api|489@@@Sidney Sheldon@@@1,351,404|0001351404
9783695062280@@@If Tomorrow Comes|9783695062280@@@If Tomorrow Comes@@@1994@@@http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api|501@@@Sidney Sheldon@@@474,260|0000474260
9781377813380@@@Assassin's Apprentice|9781377813380@@@Assassin's Apprentice@@@1996@@@http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|460@@@Robin Hobb@@@378,697|0000378697
9788762447563@@@Warhost of Vastmark|9788762447563@@@Warhost of Vastmark@@@1995@@@http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api|522@@@Janny Wurts@@@1,128,976|0001128976
9789498156632@@@The Once and Future King|9789498156632@@@The Once and Future King@@@1996@@@http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|823@@@Terence Hanbury White@@@678,192|0000678192
9788635134178@@@Murder in LaMut|9788635134178@@@Murder in LaMut@@@2003@@@http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api|337@@@Raymond E. Feist;Joel Rosenberg@@@948,283|0000948283
9782787371549@@@Jimmy the Hand|9782787371549@@@Jimmy the Hand@@@2003@@@http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api|368@@@Raymond E. Feist;S. M. Stirling@@@592,588|0000592588
9787762673882@@@Well of Darkness|9787762673882@@@Well of Darkness@@@2001@@@http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|599@@@Margaret Weis;Tracy Hickman@@@1,128,976|0001128976
9781933342042@@@Witness for the Prosecution & Selected Plays|9781933342042@@@Witness for the Prosecution & Selected Plays@@@1995@@@http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|352@@@Agatha Christie@@@253,492|0000253492
9784217372335@@@The Little House|9784217372335@@@The Little House@@@1998@@@http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api|368@@@Philippa Gregory@@@459,558|0000459558
9789003515880@@@Mystical Paths|9789003515880@@@Mystical Paths@@@1996@@@http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api|576@@@Susan Howatch@@@1,185,413|0001185413
9789055769060@@@Glittering Images|9789055769060@@@Glittering Images@@@1996@@@http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api|512@@@Susan Howatch@@@711,153|0000711153
9789267620102@@@Glamorous Powers|9789267620102@@@Glamorous Powers@@@1996@@@http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api|512@@@Susan Howatch@@@573,855|0000573855
9787078446974@@@The Mad Ship|9787078446974@@@The Mad Ship@@@2000@@@http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api|906@@@Robin Hobb@@@236,893|0000236893
9781814042105@@@Post Captain|9781814042105@@@Post Captain@@@1996@@@http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api|474@@@Patrick O'Brian@@@1,626,475|0001626475
9782783882206@@@The Reverse of the Medal|9782783882206@@@The Reverse of the Medal@@@1997@@@http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api|261@@@Patrick O'Brian@@@1,231,890|0001231890
9784479170769@@@Miss Marple|9784479170769@@@Miss Marple@@@1997@@@http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|359@@@Agatha Christie@@@711,153|0000711153
9781642132447@@@The Years of Rice and Salt|9781642132447@@@The Years of Rice and Salt@@@2003@@@http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api|772@@@Kim Stanley Robinson@@@1,209,126|0001209126
9782271852030@@@Spares|9782271852030@@@Spares@@@1998@@@http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api|317@@@Michael Marshall Smith@@@378,697|0000378697
9789616002061@@@Gravity|9789616002061@@@Gravity@@@2004@@@http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api|342@@@Tess Gerritsen@@@1,128,976|0001128976
9784969620710@@@The Wise Woman|9784969620710@@@The Wise Woman@@@2002@@@http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|640@@@Philippa Gregory@@@1,303,978|0001303978
9785894932492@@@Girls' Night in|9785894932492@@@Girls' Night in@@@2000@@@http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|586@@@Jessica Adams;Chris Manby;Fiona Walker@@@254,678|0000254678
9783996288744@@@The White Album|9783996288744@@@The White Album@@@1993@@@http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api|224@@@Joan Didion@@@331,745|0000331745
9784157968023@@@The Bonesetter's Daughter|9784157968023@@@The Bonesetter's Daughter@@@2001@@@http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api|352@@@Amy Tan@@@23,476|0000023476
9784924036538@@@The Lexus and the Olive Tree|9784924036538@@@The Lexus and the Olive Tree@@@2000@@@http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api|352@@@Thomas L. Friedman@@@687,440|0000687440
